# x y z c
-0.742448 0.731536 -0.98 0.26
-0.710696 0.784784 -0.98 0.28
-0.676592 0.83736 -0.98 0.3
-0.640136 0.889216 -0.98 0.32
-0.601328 0.940304 -0.98 0.34
-0.560168 0.990576 -0.98 0.36
-0.516656 1.039984 -0.98 0.38
-0.470792 1.08848 -0.98 0.4
-0.422576 1.136016 -0.98 0.42
-0.372008 1.182544 -0.98 0.44
-0.319088 1.228016 -0.98 0.46
-0.263816 1.272384 -0.98 0.48
-0.206192 1.3156 -0.98 0.5
-0.146216 1.357616 -0.98 0.52
-0.083888 1.398384 -0.98 0.54
-0.019208 1.437856 -0.98 0.56
0.047824 1.475984 -0.98 0.58
0.117208 1.51272 -0.98 0.6
0.188944 1.548016 -0.98 0.62
0.263032 1.581824 -0.98 0.64
0.339472 1.614096 -0.98 0.66
0.418264 1.644784 -0.98 0.68
0.499408 1.67384 -0.98 0.7
0.582904 1.701216 -0.98 0.72
0.668752 1.726864 -0.98 0.74
0.756952 1.750736 -0.98 0.76
0.847504 1.772784 -0.98 0.78
0.940408 1.79296 -0.98 0.8
1.035664 1.811216 -0.98 0.82
1.133272 1.827504 -0.98 0.84
1.233232 1.841776 -0.98 0.86
1.335544 1.853984 -0.98 0.88
1.440208 1.86408 -0.98 0.9
1.547224 1.872016 -0.98 0.92
1.656592 1.877744 -0.98 0.94
1.768312 1.881216 -0.98 0.96
1.882384 1.882384 -0.98 0.98
1.998808 1.8812 -0.98 1.0

1.995264 -1.7648 -0.96 -1
1.881216 -1.768312 -0.96 -0.98
1.769472 -1.769472 -0.96 -0.96
1.660032 -1.768328 -0.96 -0.94
1.552896 -1.764928 -0.96 -0.92
1.448064 -1.75932 -0.96 -0.9
1.345536 -1.751552 -0.96 -0.88
1.245312 -1.741672 -0.96 -0.86
1.147392 -1.729728 -0.96 -0.84
1.051776 -1.715768 -0.96 -0.82
0.958464 -1.69984 -0.96 -0.8
0.867456 -1.681992 -0.96 -0.78
0.778752 -1.662272 -0.96 -0.76
0.692352 -1.640728 -0.96 -0.74
0.608256 -1.617408 -0.96 -0.72
0.526464 -1.59236 -0.96 -0.7
0.446976 -1.565632 -0.96 -0.68
0.369792 -1.537272 -0.96 -0.66
0.294912 -1.507328 -0.96 -0.64
0.222336 -1.475848 -0.96 -0.62
0.152064 -1.44288 -0.96 -0.6
0.084096 -1.408472 -0.96 -0.58
0.018432 -1.372672 -0.96 -0.56
-0.044928 -1.335528 -0.96 -0.54
-0.105984 -1.297088 -0.96 -0.52
-0.164736 -1.2574 -0.96 -0.5
-0.221184 -1.216512 -0.96 -0.48
-0.275328 -1.174472 -0.96 -0.46
-0.327168 -1.131328 -0.96 -0.44
-0.376704 -1.087128 -0.96 -0.42
-0.423936 -1.04192 -0.96 -0.4
-0.468864 -0.995752 -0.96 -0.38
-0.511488 -0.948672 -0.96 -0.36
-0.551808 -0.900728 -0.96 -0.34
-0.589824 -0.851968 -0.96 -0.32
-0.625536 -0.80244 -0.96 -0.3
-0.658944 -0.752192 -0.96 -0.28
-0.690048 -0.701272 -0.96 -0.26
-0.718848 -0.649728 -0.96 -0.24
-0.745344 -0.597608 -0.96 -0.22
-0.769536 -0.54496 -0.96 -0.2
-0.791424 -0.491832 -0.96 -0.18
-0.811008 -0.438272 -0.96 -0.16
-0.828288 -0.384328 -0.96 -0.14
-0.843264 -0.330048 -0.96 -0.12
-0.855936 -0.27548 -0.96 -0.1
-0.866304 -0.220672 -0.96 -0.08
-0.874368 -0.165672 -0.96 -0.06
-0.880128 -0.110528 -0.96 -0.04
-0.883584 -0.055288 -0.96 -0.02
-0.884736 1.70743419403e-15 -0.96 6.17561557448e-16
-0.883584 0.055288 -0.96 0.02
-0.880128 0.110528 -0.96 0.04
-0.874368 0.165672 -0.96 0.06
-0.866304 0.220672 -0.96 0.08
-0.855936 0.27548 -0.96 0.1
-0.843264 0.330048 -0.96 0.12
-0.828288 0.384328 -0.96 0.14
-0.811008 0.438272 -0.96 0.16
-0.791424 0.491832 -0.96 0.18
-0.769536 0.54496 -0.96 0.2
-0.745344 0.597608 -0.96 0.22
-0.718848 0.649728 -0.96 0.24
-0.690048 0.701272 -0.96 0.26
-0.658944 0.752192 -0.96 0.28
-0.625536 0.80244 -0.96 0.3
-0.589824 0.851968 -0.96 0.32
-0.551808 0.900728 -0.96 0.34
-0.511488 0.948672 -0.96 0.36
-0.468864 0.995752 -0.96 0.38
-0.423936 1.04192 -0.96 0.4
-0.376704 1.087128 -0.96 0.42
-0.327168 1.131328 -0.96 0.44
-0.275328 1.174472 -0.96 0.46
-0.221184 1.216512 -0.96 0.48
-0.164736 1.2574 -0.96 0.5
-0.105984 1.297088 -0.96 0.52
-0.044928 1.335528 -0.96 0.54
0.018432 1.372672 -0.96 0.56
0.084096 1.408472 -0.96 0.58
0.152064 1.44288 -0.96 0.6
0.222336 1.475848 -0.96 0.62
0.294912 1.507328 -0.96 0.64
0.369792 1.537272 -0.96 0.66
0.446976 1.565632 -0.96 0.68
0.526464 1.59236 -0.96 0.7
0.608256 1.617408 -0.96 0.72
0.692352 1.640728 -0.96 0.74
0.778752 1.662272 -0.96 0.76
0.867456 1.681992 -0.96 0.78
0.958464 1.69984 -0.96 0.8
1.051776 1.715768 -0.96 0.82
1.147392 1.729728 -0.96 0.84
1.245312 1.741672 -0.96 0.86
1.345536 1.751552 -0.96 0.88
1.448064 1.75932 -0.96 0.9
1.552896 1.764928 -0.96 0.92
1.660032 1.768328 -0.96 0.94
1.769472 1.769472 -0.96 0.96
1.881216 1.768312 -0.96 0.98
1.995264 1.7648 -0.96 1.0

1.989416 -1.6508 -0.94 -1
1.877744 -1.656592 -0.94 -0.98
1.768328 -1.660032 -0.94 -0.96
1.661168 -1.661168 -0.94 -0.94
1.556264 -1.660048 -0.94 -0.92
1.453616 -1.65672 -0.94 -0.9
1.353224 -1.651232 -0.94 -0.88
1.255088 -1.643632 -0.94 -0.86
1.159208 -1.633968 -0.94 -0.84
1.065584 -1.622288 -0.94 -0.82
0.974216 -1.60864 -0.94 -0.8
0.885104 -1.593072 -0.94 -0.78
0.798248 -1.575632 -0.94 -0.76
0.713648 -1.556368 -0.94 -0.74
0.631304 -1.535328 -0.94 -0.72
0.551216 -1.51256 -0.94 -0.7
0.473384 -1.488112 -0.94 -0.68
0.397808 -1.462032 -0.94 -0.66
0.324488 -1.434368 -0.94 -0.64
0.253424 -1.405168 -0.94 -0.62
0.184616 -1.37448 -0.94 -0.6
0.118064 -1.342352 -0.94 -0.58
0.053768 -1.308832 -0.94 -0.56
-0.008272 -1.273968 -0.94 -0.54
-0.068056 -1.237808 -0.94 -0.52
-0.125584 -1.2004 -0.94 -0.5
-0.180856 -1.161792 -0.94 -0.48
-0.233872 -1.122032 -0.94 -0.46
-0.284632 -1.081168 -0.94 -0.44
-0.333136 -1.039248 -0.94 -0.42
-0.379384 -0.99632 -0.94 -0.4
-0.423376 -0.952432 -0.94 -0.38
-0.465112 -0.907632 -0.94 -0.36
-0.504592 -0.861968 -0.94 -0.34
-0.541816 -0.815488 -0.94 -0.32
-0.576784 -0.76824 -0.94 -0.3
-0.609496 -0.720272 -0.94 -0.28
-0.639952 -0.671632 -0.94 -0.26
-0.668152 -0.622368 -0.94 -0.24
-0.694096 -0.572528 -0.94 -0.22
-0.717784 -0.52216 -0.94 -0.2
-0.739216 -0.471312 -0.94 -0.18
-0.758392 -0.420032 -0.94 -0.16
-0.775312 -0.368368 -0.94 -0.14
-0.789976 -0.316368 -0.94 -0.12
-0.802384 -0.26408 -0.94 -0.1
-0.812536 -0.211552 -0.94 -0.08
