# x y z c
1.548016 -0.188944 -0.62 -0.98
1.475848 -0.222336 -0.62 -0.96
1.405168 -0.253424 -0.62 -0.94
1.335976 -0.282256 -0.62 -0.92
1.268272 -0.30888 -0.62 -0.9
1.202056 -0.333344 -0.62 -0.88
1.137328 -0.355696 -0.62 -0.86
1.074088 -0.375984 -0.62 -0.84
1.012336 -0.394256 -0.62 -0.82
0.952072 -0.41056 -0.62 -0.8
0.893296 -0.424944 -0.62 -0.78
0.836008 -0.437456 -0.62 -0.76
0.780208 -0.448144 -0.62 -0.74
0.725896 -0.457056 -0.62 -0.72
0.673072 -0.46424 -0.62 -0.7
0.621736 -0.469744 -0.62 -0.68
0.571888 -0.473616 -0.62 -0.66
0.523528 -0.475904 -0.62 -0.64
0.476656 -0.476656 -0.62 -0.62
0.431272 -0.47592 -0.62 -0.6
0.387376 -0.473744 -0.62 -0.58
0.344968 -0.470176 -0.62 -0.56
0.304048 -0.465264 -0.62 -0.54
0.264616 -0.459056 -0.62 -0.52
0.226672 -0.4516 -0.62 -0.5
0.190216 -0.442944 -0.62 -0.48
0.155248 -0.433136 -0.62 -0.46
0.121768 -0.422224 -0.62 -0.44
0.089776 -0.410256 -0.62 -0.42
0.059272 -0.39728 -0.62 -0.4
0.030256 -0.383344 -0.62 -0.38
0.002728 -0.368496 -0.62 -0.36
-0.023312 -0.352784 -0.62 -0.34
-0.047864 -0.336256 -0.62 -0.32
-0.070928 -0.31896 -0.62 -0.3
-0.092504 -0.300944 -0.62 -0.28
-0.112592 -0.282256 -0.62 -0.26
-0.131192 -0.262944 -0.62 -0.24
-0.148304 -0.243056 -0.62 -0.22
-0.163928 -0.22264 -0.62 -0.2
-0.178064 -0.201744 -0.62 -0.18
-0.190712 -0.180416 -0.62 -0.16
-0.201872 -0.158704 -0.62 -0.14
-0.211544 -0.136656 -0.62 -0.12
-0.219728 -0.11432 -0.62 -0.1
-0.226424 -0.091744 -0.62 -0.08
-0.231632 -0.068976 -0.62 -0.06
-0.235352 -0.046064 -0.62 -0.04
-0.237584 -0.023056 -0.62 -0.02
-0.238328 7.12171988049e-16 -0.62 6.17561557448e-16
-0.237584 0.023056 -0.62 0.02
-0.235352 0.046064 -0.62 0.04
-0.231632 0.068976 -0.62 0.06
-0.226424 0.091744 -0.62 0.08
-0.219728 0.11432 -0.62 0.1
-0.211544 0.136656 -0.62 0.12
-0.201872 0.158704 -0.62 0.14
-0.190712 0.180416 -0.62 0.16
-0.178064 0.201744 -0.62 0.18
-0.163928 0.22264 -0.62 0.2
-0.148304 0.243056 -0.62 0.22
-0.131192 0.262944 -0.62 0.24
-0.112592 0.282256 -0.62 0.26
-0.092504 0.300944 -0.62 0.28
-0.070928 0.31896 -0.62 0.3
-0.047864 0.336256 -0.62 0.32
-0.023312 0.352784 -0.62 0.34
0.002728 0.368496 -0.62 0.36
0.030256 0.383344 -0.62 0.38
0.059272 0.39728 -0.62 0.4
0.089776 0.410256 -0.62 0.42
0.121768 0.422224 -0.62 0.44
0.155248 0.433136 -0.62 0.46
0.190216 0.442944 -0.62 0.48
0.226672 0.4516 -0.62 0.5
0.264616 0.459056 -0.62 0.52
0.304048 0.465264 -0.62 0.54
0.344968 0.470176 -0.62 0.56
0.387376 0.473744 -0.62 0.58
0.431272 0.47592 -0.62 0.6
0.476656 0.476656 -0.62 0.62
0.523528 0.475904 -0.62 0.64
0.571888 0.473616 -0.62 0.66
0.621736 0.469744 -0.62 0.68
0.673072 0.46424 -0.62 0.7
0.725896 0.457056 -0.62 0.72
0.780208 0.448144 -0.62 0.74
0.836008 0.437456 -0.62 0.76
0.893296 0.424944 -0.62 0.78
0.952072 0.41056 -0.62 0.8
1.012336 0.394256 -0.62 0.82
1.074088 0.375984 -0.62 0.84
1.137328 0.355696 -0.62 0.86
1.202056 0.333344 -0.62 0.88
1.268272 0.30888 -0.62 0.9
1.335976 0.282256 -0.62 0.92
1.405168 0.253424 -0.62 0.94
1.475848 0.222336 -0.62 0.96
1.548016 0.188944 -0.62 0.98
1.621672 0.1532 -0.62 1.0

1.584 -0.08 -0.6 -1
1.51272 -0.117208 -0.6 -0.98
1.44288 -0.152064 -0.6 -0.96
1.37448 -0.184616 -0.6 -0.94
1.30752 -0.214912 -0.6 -0.92
1.242 -0.243 -0.6 -0.9
1.17792 -0.268928 -0.6 -0.88
1.11528 -0.292744 -0.6 -0.86
1.05408 -0.314496 -0.6 -0.84
0.99432 -0.334232 -0.6 -0.82
0.936 -0.352 -0.6 -0.8
0.87912 -0.367848 -0.6 -0.78
0.82368 -0.381824 -0.6 -0.76
0.76968 -0.393976 -0.6 -0.74
0.71712 -0.404352 -0.6 -0.72
0.666 -0.413 -0.6 -0.7
0.61632 -0.419968 -0.6 -0.68
0.56808 -0.425304 -0.6 -0.66
0.52128 -0.429056 -0.6 -0.64
0.47592 -0.431272 -0.6 -0.62
0.432 -0.432 -0.6 -0.6
0.38952 -0.431288 -0.6 -0.58
0.34848 -0.429184 -0.6 -0.56
0.30888 -0.425736 -0.6 -0.54
0.27072 -0.420992 -0.6 -0.52
0.234 -0.415 -0.6 -0.5
0.19872 -0.407808 -0.6 -0.48
0.16488 -0.399464 -0.6 -0.46
0.13248 -0.390016 -0.6 -0.44
0.10152 -0.379512 -0.6 -0.42
0.072 -0.368 -0.6 -0.4
0.04392 -0.355528 -0.6 -0.38
0.01728 -0.342144 -0.6 -0.36
-0.00792 -0.327896 -0.6 -0.34
-0.03168 -0.312832 -0.6 -0.32
-0.054 -0.297 -0.6 -0.3
-0.07488 -0.280448 -0.6 -0.28
-0.09432 -0.263224 -0.6 -0.26
-0.11232 -0.245376 -0.6 -0.24
-0.12888 -0.226952 -0.6 -0.22
-0.144 -0.208 -0.6 -0.2
-0.15768 -0.188568 -0.6 -0.18
-0.16992 -0.168704 -0.6 -0.16
-0.18072 -0.148456 -0.6 -0.14
-0.19008 -0.127872 -0.6 -0.12
-0.198 -0.107 -0.6 -0.1
-0.20448 -0.085888 -0.6 -0.08
-0.20952 -0.064584 -0.6 -0.06
-0.21312 -0.043136 -0.6 -0.04
-0.21528 -0.021592 -0.6 -0.02
-0.216 6.66966482044e-16 -0.6 6.17561557448e-16
-0.21528 0.021592 -0.6 0.02
-0.21312 0.043136 -0.6 0.04
-0.20952 0.064584 -0.6 0.06
-0.20448 0.085888 -0.6 0.08
-0.198 0.107 -0.6 0.1
-0.19008 0.127872 -0.6 0.12
-0.18072 0.148456 -0.6 0.14
-0.16992 0.168704 -0.6 0.16
-0.15768 0.188568 -0.6 0.18
-0.144 0.208 -0.6 0.2
-0.12888 0.226952 -0.6 0.22
-0.11232 0.245376 -0.6 0.24
-0.09432 0.263224 -0.6 0.26
-0.07488 0.280448 -0.6 0.28
-0.054 0.297 -0.6 0.3
-0.03168 0.312832 -0.6 0.32
-0.00792 0.327896 -0.6 0.34
0.01728 0.342144 -0.6 0.36
0.04392 0.355528 -0.6 0.38
0.072 0.368 -0.6 0.4
0.10152 0.379512 -0.6 0.42
0.13248 0.390016 -0.6 0.44
0.16488 0.399464 -0.6 0.46
0.19872 0.407808 -0.6 0.48
0.234 0.415 -0.6 0.5
0.27072 0.420992 -0.6 0.52
0.30888 0.425736 -0.6 0.54
0.34848 0.429184 -0.6 0.56
0.38952 0.431288 -0.6 0.58
0.432 0.432 -0.6 0.6
0.47592 0.431272 -0.6 0.62
0.52128 0.429056 -0.6 0.64
0.56808 0.425304 -0.6 0.66
0.61632 0.419968 -0.6 0.68
0.666 0.413 -0.6 0.7
0.71712 0.404352 -0.6 0.72
0.76968 0.393976 -0.6 0.74
0.82368 0.381824 -0.6 0.76
0.87912 0.367848 -0.6 0.78
0.936 0.352 -0.6 0.8
0.99432 0.334232 -0.6 0.82
1.05408 0.314496 -0.6 0.84
1.11528 0.292744 -0.6 0.86
1.17792 0.268928 -0.6 0.88
1.242 0.243 -0.6 0.9
1.30752 0.214912 -0.6 0.92
1.37448 0.184616 -0.6 0.94
1.44288 0.152064 -0.6 0.96
1.51272 0.117208 -0.6 0.98
1.584 0.08 -0.6 1.0

1.544888 -0.0092 -0.58 -1
1.475984 -0.047824 -0.58 -0.98
1.408472 -0.084096 -0.58 -0.96
1.342352 -0.118064 -0.58 -0.94
1.277624 -0.149776 -0.58 -0.92
1.214288 -0.17928 -0.58 -0.9
1.152344 -0.206624 -0.58 -0.88
1.091792 -0.231856 -0.58 -0.86
1.032632 -0.255024 -0.58 -0.84
0.974864 -0.276176 -0.58 -0.82
0.918488 -0.29536 -0.58 -0.8
0.863504 -0.312624 -0.58 -0.78
0.809912 -0.328016 -0.58 -0.76
0.757712 -0.341584 -0.58 -0.74
0.706904 -0.353376 -0.58 -0.72
0.657488 -0.36344 -0.58 -0.7
0.609464 -0.371824 -0.58 -0.68
0.562832 -0.378576 -0.58 -0.66
0.517592 -0.383744 -0.58 -0.64
0.473744 -0.387376 -0.58 -0.62
0.431288 -0.38952 -0.58 -0.6
0.390224 -0.390224 -0.58 -0.58
0.350552 -0.389536 -0.58 -0.56
0.312272 -0.387504 -0.58 -0.54
0.275384 -0.384176 -0.58 -0.52
0.239888 -0.3796 -0.58 -0.5
0.205784 -0.373824 -0.58 -0.48
0.173072 -0.366896 -0.58 -0.46
0.141752 -0.358864 -0.58 -0.44
0.111824 -0.349776 -0.58 -0.42
0.083288 -0.33968 -0.58 -0.4
0.056144 -0.328624 -0.58 -0.38
0.030392 -0.316656 -0.58 -0.36
0.006032 -0.303824 -0.58 -0.34
-0.016936 -0.290176 -0.58 -0.32
-0.038512 -0.27576 -0.58 -0.3
-0.058696 -0.260624 -0.58 -0.28
-0.077488 -0.244816 -0.58 -0.26
-0.094888 -0.228384 -0.58 -0.24
-0.110896 -0.211376 -0.58 -0.22
-0.125512 -0.19384 -0.58 -0.2
-0.138736 -0.175824 -0.58 -0.18
-0.150568 -0.157376 -0.58 -0.16
-0.161008 -0.138544 -0.58 -0.14
-0.170056 -0.119376 -0.58 -0.12
-0.177712 -0.09992 -0.58 -0.1
-0.183976 -0.080224 -0.58 -0.08
-0.188848 -0.060336 -0.58 -0.06
-0.192328 -0.040304 -0.58 -0.04
-0.194416 -0.020176 -0.58 -0.02
-0.195112 6.23243123776e-16 -0.58 6.17561557448e-16
-0.194416 0.020176 -0.58 0.02
-0.192328 0.040304 -0.58 0.04
-0.188848 0.060336 -0.58 0.06
-0.183976 0.080224 -0.58 0.08
-0.177712 0.09992 -0.58 0.1
-0.170056 0.119376 -0.58 0.12
-0.161008 0.138544 -0.58 0.14
-0.150568 0.157376 -0.58 0.16
-0.138736 0.175824 -0.58 0.18
-0.125512 0.19384 -0.58 0.2
-0.110896 0.211376 -0.58 0.22
-0.094888 0.228384 -0.58 0.24
-0.077488 0.244816 -0.58 0.26
-0.058696 0.260624 -0.58 0.28
-0.038512 0.27576 -0.58 0.3
-0.016936 0.290176 -0.58 0.32
0.006032 0.303824 -0.58 0.34
0.030392 0.316656 -0.58 0.36
0.056144 0.328624 -0.58 0.38
0.083288 0.33968 -0.58 0.4
0.111824 0.349776 -0.58 0.42
0.141752 0.358864 -0.58 0.44
0.173072 0.366896 -0.58 0.46
0.205784 0.373824 -0.58 0.48
0.239888 0.3796 -0.58 0.5
0.275384 0.384176 -0.58 0.52
0.312272 0.387504 -0.58 0.54
0.350552 0.389536 -0.58 0.56
0.390224 0.390224 -0.58 0.58
0.431288 0.38952 -0.58 0.6
0.473744 0.387376 -0.58 0.62
0.517592 0.383744 -0.58 0.64
0.562832 0.378576 -0.58 0.66
0.609464 0.371824 -0.58 0.68
0.657488 0.36344 -0.58 0.7
0.706904 0.353376 -0.58 0.72
0.757712 0.341584 -0.58 0.74
0.809912 0.328016 -0.58 0.76
0.863504 0.312624 -0.58 0.78
0.918488 0.29536 -0.58 0.8
0.974864 0.276176 -0.58 0.82
1.032632 0.255024 -0.58 0.84
1.091792 0.231856 -0.58 0.86
1.152344 0.206624 -0.58 0.88
1.214288 0.17928 -0.58 0.9
1.277624 0.149776 -0.58 0.92
1.342352 0.118064 -0.58 0.94
1.408472 0.084096 -0.58 0.96
1.475984 0.047824 -0.58 0.98
1.544888 0.0092 -0.58 1.0

1.504384 0.0592 -0.56 -1
1.437856 0.019208 -0.56 -0.98
1.372672 -0.018432 -0.56 -0.96
1.308832 -0.053768 -0.56 -0.94
1.246336 -0.086848 -0.56 -0.92
1.185184 -0.11772 -0.56 -0.9
1.125376 -0.146432 -0.56 -0.88
1.066912 -0.173032 -0.56 -0.86
1.009792 -0.197568 -0.56 -0.84
0.954016 -0.220088 -0.56 -0.82
0.899584 -0.24064 -0.56 -0.8
0.846496 -0.259272 -0.56 -0.78
0.794752 -0.276032 -0.56 -0.76
0.744352 -0.290968 -0.56 -0.74
0.695296 -0.304128 -0.56 -0.72
0.647584 -0.31556 -0.56 -0.7
0.601216 -0.325312 -0.56 -0.68
0.556192 -0.333432 -0.56 -0.66
0.512512 -0.339968 -0.56 -0.64
0.470176 -0.344968 -0.56 -0.62
0.429184 -0.34848 -0.56 -0.6
0.389536 -0.350552 -0.56 -0.58
0.351232 -0.351232 -0.56 -0.56
0.314272 -0.350568 -0.56 -0.54
0.278656 -0.348608 -0.56 -0.52
0.244384 -0.3454 -0.56 -0.5
0.211456 -0.340992 -0.56 -0.48
0.179872 -0.335432 -0.56 -0.46
0.149632 -0.328768 -0.56 -0.44
0.120736 -0.321048 -0.56 -0.42
0.093184 -0.31232 -0.56 -0.4
0.066976 -0.302632 -0.56 -0.38
0.042112 -0.292032 -0.56 -0.36
0.018592 -0.280568 -0.56 -0.34
-0.003584 -0.268288 -0.56 -0.32
-0.024416 -0.25524 -0.56 -0.3
-0.043904 -0.241472 -0.56 -0.28
-0.062048 -0.227032 -0.56 -0.26
-0.078848 -0.211968 -0.56 -0.24
-0.094304 -0.196328 -0.56 -0.22
-0.108416 -0.18016 -0.56 -0.2
-0.121184 -0.163512 -0.56 -0.18
-0.132608 -0.146432 -0.56 -0.16
-0.142688 -0.128968 -0.56 -0.14
-0.151424 -0.111168 -0.56 -0.12
-0.158816 -0.09308 -0.56 -0.1
-0.164864 -0.074752 -0.56 -0.08
-0.169568 -0.056232 -0.56 -0.06
-0.172928 -0.037568 -0.56 -0.04
-0.174944 -0.018808 -0.56 -0.02
-0.175616 5.81001913247e-16 -0.56 6.17561557448e-16
-0.174944 0.018808 -0.56 0.02
-0.172928 0.037568 -0.56 0.04
-0.169568 0.056232 -0.56 0.06
-0.164864 0.074752 -0.56 0.08
-0.158816 0.09308 -0.56 0.1
-0.151424 0.111168 -0.56 0.12
-0.142688 0.128968 -0.56 0.14
-0.132608 0.146432 -0.56 0.16
-0.121184 0.163512 -0.56 0.18
-0.108416 0.18016 -0.56 0.2
-0.094304 0.196328 -0.56 0.22
-0.078848 0.211968 -0.56 0.24
-0.062048 0.227032 -0.56 0.26
-0.043904 0.241472 -0.56 0.28
-0.024416 0.25524 -0.56 0.3
-0.003584 0.268288 -0.56 0.32
0.018592 0.280568 -0.56 0.34
0.042112 0.292032 -0.56 0.36
0.066976 0.302632 -0.56 0.38
0.093184 0.31232 -0.56 0.4
0.120736 0.321048 -0.56 0.42
0.149632 0.328768 -0.56 0.44
0.179872 0.335432 -0.56 0.46
0.211456 0.340992 -0.56 0.48
0.244384 0.3454 -0.56 0.5
0.278656 0.348608 -0.56 0.52
0.314272 0.350568 -0.56 0.54
0.351232 0.351232 -0.56 0.56
0.389536 0.350552 -0.56 0.58
0.429184 0.34848 -0.56 0.6
0.470176 0.344968 -0.56 0.62
0.512512 0.339968 -0.56 0.64
0.556192 0.333432 -0.56 0.66
0.601216 0.325312 -0.56 0.68
0.647584 0.31556 -0.56 0.7
0.695296 0.304128 -0.56 0.72
0.744352 0.290968 -0.56 0.74
0.794752 0.276032 -0.56 0.76
0.846496 0.259272 -0.56 0.78
0.899584 0.24064 -0.56 0.8
0.954016 0.220088 -0.56 0.82
1.009792 0.197568 -0.56 0.84
1.066912 0.173032 -0.56 0.86
1.125376 0.146432 -0.56 0.88
1.185184 0.11772 -0.56 0.9
1.246336 0.086848 -0.56 0.92
1.308832 0.053768 -0.56 0.94
1.372672 0.018432 -0.56 0.96
1.437856 -0.019208 -0.56 0.98
1.504384 -0.0592 -0.56 1.0

1.462536 0.1252 -0.54 -1
1.398384 0.083888 -0.54 -0.98
1.335528 0.044928 -0.54 -0.96
1.273968 0.008272 -0.54 -0.94
1.213704 -0.026128 -0.54 -0.92
1.154736 -0.05832 -0.54 -0.9
1.097064 -0.088352 -0.54 -0.88
1.040688 -0.116272 -0.54 -0.86
0.985608 -0.142128 -0.54 -0.84
0.931824 -0.165968 -0.54 -0.82
0.879336 -0.18784 -0.54 -0.8
0.828144 -0.207792 -0.54 -0.78
0.778248 -0.225872 -0.54 -0.76
0.729648 -0.242128 -0.54 -0.74
0.682344 -0.256608 -0.54 -0.72
0.636336 -0.26936 -0.54 -0.7
0.591624 -0.280432 -0.54 -0.68
0.548208 -0.289872 -0.54 -0.66
0.506088 -0.297728 -0.54 -0.64
0.465264 -0.304048 -0.54 -0.62
0.425736 -0.30888 -0.54 -0.6
0.387504 -0.312272 -0.54 -0.58
0.350568 -0.314272 -0.54 -0.56
0.314928 -0.314928 -0.54 -0.54
0.280584 -0.314288 -0.54 -0.52
0.247536 -0.3124 -0.54 -0.5
0.215784 -0.309312 -0.54 -0.48
0.185328 -0.305072 -0.54 -0.46
0.156168 -0.299728 -0.54 -0.44
0.128304 -0.293328 -0.54 -0.42
0.101736 -0.28592 -0.54 -0.4
0.076464 -0.277552 -0.54 -0.38
0.052488 -0.268272 -0.54 -0.36
0.029808 -0.258128 -0.54 -0.34
0.008424 -0.247168 -0.54 -0.32
-0.011664 -0.23544 -0.54 -0.3
-0.030456 -0.222992 -0.54 -0.28
-0.047952 -0.209872 -0.54 -0.26
-0.064152 -0.196128 -0.54 -0.24
-0.079056 -0.181808 -0.54 -0.22
-0.092664 -0.16696 -0.54 -0.2
-0.104976 -0.151632 -0.54 -0.18
-0.115992 -0.135872 -0.54 -0.16
-0.125712 -0.119728 -0.54 -0.14
-0.134136 -0.103248 -0.54 -0.12
-0.141264 -0.08648 -0.54 -0.1
-0.147096 -0.069472 -0.54 -0.08
-0.151632 -0.052272 -0.54 -0.06
-0.154872 -0.034928 -0.54 -0.04
-0.156816 -0.017488 -0.54 -0.02
-0.157464 5.40242850455e-16 -0.54 6.17561557448e-16
-0.156816 0.017488 -0.54 0.02
-0.154872 0.034928 -0.54 0.04
-0.151632 0.052272 -0.54 0.06
-0.147096 0.069472 -0.54 0.08
-0.141264 0.08648 -0.54 0.1
-0.134136 0.103248 -0.54 0.12
-0.125712 0.119728 -0.54 0.14
-0.115992 0.135872 -0.54 0.16
-0.104976 0.151632 -0.54 0.18
-0.092664 0.16696 -0.54 0.2
-0.079056 0.181808 -0.54 0.22
-0.064152 0.196128 -0.54 0.24
-0.047952 0.209872 -0.54 0.26
-0.030456 0.222992 -0.54 0.28
-0.011664 0.23544 -0.54 0.3
0.008424 0.247168 -0.54 0.32
0.029808 0.258128 -0.54 0.34
0.052488 0.268272 -0.54 0.36
0.076464 0.277552 -0.54 0.38
0.101736 0.28592 -0.54 0.4
0.128304 0.293328 -0.54 0.42
0.156168 0.299728 -0.54 0.44
0.185328 0.305072 -0.54 0.46
0.215784 0.309312 -0.54 0.48
0.247536 0.3124 -0.54 0.5
0.280584 0.314288 -0.54 0.52
0.314928 0.314928 -0.54 0.54
0.350568 0.314272 -0.54 0.56
0.387504 0.312272 -0.54 0.58
0.425736 0.30888 -0.54 0.6
0.465264 0.304048 -0.54 0.62
0.506088 0.297728 -0.54 0.64
0.548208 0.289872 -0.54 0.66
0.591624 0.280432 -0.54 0.68
0.636336 0.26936 -0.54 0.7
0.682344 0.256608 -0.54 0.72
0.729648 0.242128 -0.54 0.74
0.778248 0.225872 -0.54 0.76
0.828144 0.207792 -0.54 0.78
0.879336 0.18784 -0.54 0.8
0.931824 0.165968 -0.54 0.82
0.985608 0.142128 -0.54 0.84
1.040688 0.116272 -0.54 0.86
1.097064 0.088352 -0.54 0.88
1.154736 0.05832 -0.54 0.9
1.213704 0.026128 -0.54 0.92
1.273968 -0.008272 -0.54 0.94
1.335528 -0.044928 -0.54 0.96
1.398384 -0.083888 -0.54 0.98
1.462536 -0.1252 -0.54 1.0

1.419392 0.1888 -0.52 -1
1.357616 0.146216 -0.52 -0.98
1.297088 0.105984 -0.52 -0.96
1.237808 0.068056 -0.52 -0.94
1.179776 0.032384 -0.52 -0.92
1.122992 -0.00108 -0.52 -0.9
1.067456 -0.032384 -0.52 -0.88
1.013168 -0.061576 -0.52 -0.86
0.960128 -0.088704 -0.52 -0.84
0.908336 -0.113816 -0.52 -0.82
0.857792 -0.13696 -0.52 -0.8
0.808496 -0.158184 -0.52 -0.78
0.760448 -0.177536 -0.52 -0.76
0.713648 -0.195064 -0.52 -0.74
0.668096 -0.210816 -0.52 -0.72
0.623792 -0.22484 -0.52 -0.7
0.580736 -0.237184 -0.52 -0.68
0.538928 -0.247896 -0.52 -0.66
0.498368 -0.257024 -0.52 -0.64
0.459056 -0.264616 -0.52 -0.62
0.420992 -0.27072 -0.52 -0.6
0.384176 -0.275384 -0.52 -0.58
0.348608 -0.278656 -0.52 -0.56
0.314288 -0.280584 -0.52 -0.54
0.281216 -0.281216 -0.52 -0.52
0.249392 -0.2806 -0.52 -0.5
0.218816 -0.278784 -0.52 -0.48
0.189488 -0.275816 -0.52 -0.46
0.161408 -0.271744 -0.52 -0.44
0.134576 -0.266616 -0.52 -0.42
0.108992 -0.26048 -0.52 -0.4
0.084656 -0.253384 -0.52 -0.38
0.061568 -0.245376 -0.52 -0.36
0.039728 -0.236504 -0.52 -0.34
0.019136 -0.226816 -0.52 -0.32
-0.000208 -0.21636 -0.52 -0.3
-0.018304 -0.205184 -0.52 -0.28
-0.035152 -0.193336 -0.52 -0.26
-0.050752 -0.180864 -0.52 -0.24
-0.065104 -0.167816 -0.52 -0.22
-0.078208 -0.15424 -0.52 -0.2
-0.090064 -0.140184 -0.52 -0.18
-0.100672 -0.125696 -0.52 -0.16
-0.110032 -0.110824 -0.52 -0.14
-0.118144 -0.095616 -0.52 -0.12
-0.125008 -0.08012 -0.52 -0.1
-0.130624 -0.064384 -0.52 -0.08
-0.134992 -0.048456 -0.52 -0.06
-0.138112 -0.032384 -0.52 -0.04
-0.139984 -0.016216 -0.52 -0.02
-0.140608 5.00965935402e-16 -0.52 6.17561557448e-16
-0.139984 0.016216 -0.52 0.02
-0.138112 0.032384 -0.52 0.04
-0.134992 0.048456 -0.52 0.06
-0.130624 0.064384 -0.52 0.08
-0.125008 0.08012 -0.52 0.1
-0.118144 0.095616 -0.52 0.12
-0.110032 0.110824 -0.52 0.14
-0.100672 0.125696 -0.52 0.16
-0.090064 0.140184 -0.52 0.18
-0.078208 0.15424 -0.52 0.2
-0.065104 0.167816 -0.52 0.22
-0.050752 0.180864 -0.52 0.24
-0.035152 0.193336 -0.52 0.26
-0.018304 0.205184 -0.52 0.28
-0.000207999999999 0.21636 -0.52 0.3
0.019136 0.226816 -0.52 0.32
0.039728 0.236504 -0.52 0.34
0.061568 0.245376 -0.52 0.36
0.084656 0.253384 -0.52 0.38
0.108992 0.26048 -0.52 0.4
0.134576 0.266616 -0.52 0.42
0.161408 0.271744 -0.52 0.44
0.189488 0.275816 -0.52 0.46
0.218816 0.278784 -0.52 0.48
0.249392 0.2806 -0.52 0.5
0.281216 0.281216 -0.52 0.52
0.314288 0.280584 -0.52 0.54
0.348608 0.278656 -0.52 0.56
0.384176 0.275384 -0.52 0.58
0.420992 0.27072 -0.52 0.6
0.459056 0.264616 -0.52 0.62
0.498368 0.257024 -0.52 0.64
0.538928 0.247896 -0.52 0.66
0.580736 0.237184 -0.52 0.68
0.623792 0.22484 -0.52 0.7
0.668096 0.210816 -0.52 0.72
0.713648 0.195064 -0.52 0.74
0.760448 0.177536 -0.52 0.76
0.808496 0.158184 -0.52 0.78
0.857792 0.13696 -0.52 0.8
0.908336 0.113816 -0.52 0.82
0.960128 0.088704 -0.52 0.84
1.013168 0.061576 -0.52 0.86
1.067456 0.032384 -0.52 0.88
1.122992 0.00108 -0.52 0.9
1.179776 -0.032384 -0.52 0.92
1.237808 -0.068056 -0.52 0.94
1.297088 -0.105984 -0.52 0.96
1.357616 -0.146216 -0.52 0.98
1.419392 -0.1888 -0.52 1.0

1.375 0.25 -0.5 -1
1.3156 0.206192 -0.5 -0.98
1.2574 0.164736 -0.5 -0.96
1.2004 0.125584 -0.5 -0.94
1.1446 0.088688 -0.5 -0.92
1.09 0.054 -0.5 -0.9
1.0366 0.021472 -0.5 -0.88
0.9844 -0.008944 -0.5 -0.86
0.9334 -0.037296 -0.5 -0.84
0.8836 -0.063632 -0.5 -0.82
0.835 -0.088 -0.5 -0.8
0.7876 -0.110448 -0.5 -0.78
0.7414 -0.131024 -0.5 -0.76
0.6964 -0.149776 -0.5 -0.74
0.6526 -0.166752 -0.5 -0.72
0.61 -0.182 -0.5 -0.7
0.5686 -0.195568 -0.5 -0.68
0.5284 -0.207504 -0.5 -0.66
0.4894 -0.217856 -0.5 -0.64
0.4516 -0.226672 -0.5 -0.62
0.415 -0.234 -0.5 -0.6
0.3796 -0.239888 -0.5 -0.58
0.3454 -0.244384 -0.5 -0.56
0.3124 -0.247536 -0.5 -0.54
0.2806 -0.249392 -0.5 -0.52
0.25 -0.25 -0.5 -0.5
0.2206 -0.249408 -0.5 -0.48
0.1924 -0.247664 -0.5 -0.46
0.1654 -0.244816 -0.5 -0.44
0.1396 -0.240912 -0.5 -0.42
0.115 -0.236 -0.5 -0.4
0.0916 -0.230128 -0.5 -0.38
0.0694 -0.223344 -0.5 -0.36
0.0484 -0.215696 -0.5 -0.34
0.0286 -0.207232 -0.5 -0.32
0.01 -0.198 -0.5 -0.3
-0.0074 -0.188048 -0.5 -0.28
-0.0236 -0.177424 -0.5 -0.26
-0.0386 -0.166176 -0.5 -0.24
-0.0524 -0.154352 -0.5 -0.22
-0.065 -0.142 -0.5 -0.2
-0.0764 -0.129168 -0.5 -0.18
-0.0866 -0.115904 -0.5 -0.16
-0.0956 -0.102256 -0.5 -0.14
-0.1034 -0.088272 -0.5 -0.12
-0.11 -0.074 -0.5 -0.1
-0.1154 -0.059488 -0.5 -0.08
-0.1196 -0.044784 -0.5 -0.06
-0.1226 -0.029936 -0.5 -0.04
-0.1244 -0.014992 -0.5 -0.02
-0.125 4.63171168086e-16 -0.5 6.17561557448e-16
-0.1244 0.014992 -0.5 0.02
-0.1226 0.029936 -0.5 0.04
-0.1196 0.044784 -0.5 0.06
-0.1154 0.059488 -0.5 0.08
-0.11 0.074 -0.5 0.1
-0.1034 0.088272 -0.5 0.12
-0.0956 0.102256 -0.5 0.14
-0.0866 0.115904 -0.5 0.16
-0.0764 0.129168 -0.5 0.18
-0.065 0.142 -0.5 0.2
-0.0524 0.154352 -0.5 0.22
-0.0386 0.166176 -0.5 0.24
-0.0236 0.177424 -0.5 0.26
-0.0074 0.188048 -0.5 0.28
0.01 0.198 -0.5 0.3
0.0286 0.207232 -0.5 0.32
0.0484 0.215696 -0.5 0.34
0.0694 0.223344 -0.5 0.36
0.0916 0.230128 -0.5 0.38
0.115 0.236 -0.5 0.4
0.1396 0.240912 -0.5 0.42
0.1654 0.244816 -0.5 0.44
0.1924 0.247664 -0.5 0.46
0.2206 0.249408 -0.5 0.48
0.25 0.25 -0.5 0.5
0.2806 0.249392 -0.5 0.52
0.3124 0.247536 -0.5 0.54
0.3454 0.244384 -0.5 0.56
0.3796 0.239888 -0.5 0.58
0.415 0.234 -0.5 0.6
0.4516 0.226672 -0.5 0.62
0.4894 0.217856 -0.5 0.64
